placeDcid,placeName,Date:Annual_Consumption_Electricity,Value:Annual_Consumption_Electricity,Source:Annual_Consumption_Electricity,Date:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Date:Annual_Loss_Electricity,Value:Annual_Loss_Electricity,Source:Annual_Loss_Electricity
country/AFG,Afghanistan,2019,4850000000,https://unstats.un.org/unsd/energystats/data/,2021,128000,https://api.climatetrace.org/,2021,128000,https://api.climatetrace.org/,2021,128000,https://api.climatetrace.org/,2019,800000000,https://unstats.un.org/unsd/energystats/data/
country/ARE,United Arab Emirates,2018,122836000000,https://unstats.un.org/unsd/energystats/data/,2021,92567000,https://api.climatetrace.org/,2021,92567000,https://api.climatetrace.org/,2021,92567000,https://api.climatetrace.org/,2018,8436000000,https://unstats.un.org/unsd/energystats/data/
country/ARM,Armenia,2018,5402561000,https://unstats.un.org/unsd/energystats/data/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2018,611435000,https://unstats.un.org/unsd/energystats/data/
country/AZE,Azerbaijan,2018,17811500000,https://unstats.un.org/unsd/energystats/data/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2018,2219800000,https://unstats.un.org/unsd/energystats/data/
country/BGD,Bangladesh,2018,70409000000,https://unstats.un.org/unsd/energystats/data/,2021,45185000,https://api.climatetrace.org/,2021,45185000,https://api.climatetrace.org/,2021,45185000,https://api.climatetrace.org/,2018,8447200000,https://unstats.un.org/unsd/energystats/data/
country/BHR,Bahrain,2018,28987000000,https://unstats.un.org/unsd/energystats/data/,2021,22078000,https://api.climatetrace.org/,2021,22078000,https://api.climatetrace.org/,2021,22078000,https://api.climatetrace.org/,2018,540000000,https://unstats.un.org/unsd/energystats/data/
country/BRN,Brunei,2018,3250000000,https://unstats.un.org/unsd/energystats/data/,2021,3665000,https://api.climatetrace.org/,2021,3665000,https://api.climatetrace.org/,2021,3665000,https://api.climatetrace.org/,2017,481000000,https://unstats.un.org/unsd/energystats/data/
country/BTN,Bhutan,2019,2449720000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,,2018,277000000,https://unstats.un.org/unsd/energystats/data/
country/CHN,China,2018,6000960000000,https://unstats.un.org/unsd/energystats/data/,2021,4816495000,https://api.climatetrace.org/,2021,4816495000,https://api.climatetrace.org/,2021,4816495000,https://api.climatetrace.org/,2018,335171000000,https://unstats.un.org/unsd/energystats/data/
country/CYP,Cyprus,2018,4664000000,https://unstats.un.org/unsd/energystats/data/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2017,228000000,https://unstats.un.org/unsd/energystats/data/
country/EGY,Egypt,2018,165610000000,https://unstats.un.org/unsd/energystats/data/,2021,103722000,https://api.climatetrace.org/,2021,103722000,https://api.climatetrace.org/,2021,103722000,https://api.climatetrace.org/,2018,22056000000,https://unstats.un.org/unsd/energystats/data/
