placeDcid,placeName,Date:Annual_Consumption_Electricity,Value:Annual_Consumption_Electricity,Source:Annual_Consumption_Electricity,Date:Annual_Loss_Electricity,Value:Annual_Loss_Electricity,Source:Annual_Loss_Electricity,Date:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration
country/ALB,Albania,2019,6179270000,https://unstats.un.org/unsd/energystats/data/,2019,1081830000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/AND,Andorra,2019,489840000,https://unstats.un.org/unsd/energystats/data/,2019,65650000,https://unstats.un.org/unsd/energystats/data/,2021,115000,https://api.climatetrace.org/,2021,115000,https://api.climatetrace.org/,2021,115000,https://api.climatetrace.org/
country/ANT,Netherlands Antilles,2011,989000000,https://unstats.un.org/unsd/energystats/data/,2011,212000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/ARM,Armenia,2018,5402561000,https://unstats.un.org/unsd/energystats/data/,2018,611435000,https://unstats.un.org/unsd/energystats/data/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/
country/AUT,Austria,2018,63074000000,https://unstats.un.org/unsd/energystats/data/,2018,3459000000,https://unstats.un.org/unsd/energystats/data/,2021,12158000,https://api.climatetrace.org/,2021,12158000,https://api.climatetrace.org/,2021,12158000,https://api.climatetrace.org/
country/AZE,Azerbaijan,2018,17811500000,https://unstats.un.org/unsd/energystats/data/,2018,2219800000,https://unstats.un.org/unsd/energystats/data/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/
country/BEL,Belgium,2018,82755000000,https://unstats.un.org/unsd/energystats/data/,2018,3798000000,https://unstats.un.org/unsd/energystats/data/,2021,18000000,https://api.climatetrace.org/,2021,18000000,https://api.climatetrace.org/,2021,18000000,https://api.climatetrace.org/
country/BGR,Bulgaria,2018,29895000000,https://unstats.un.org/unsd/energystats/data/,2018,3102000000,https://unstats.un.org/unsd/energystats/data/,2021,22458000,https://api.climatetrace.org/,2021,22458000,https://api.climatetrace.org/,2021,22458000,https://api.climatetrace.org/
country/BIH,Bosnia and Herzegovina,2018,11456000000,https://unstats.un.org/unsd/energystats/data/,2018,1349000000,https://unstats.un.org/unsd/energystats/data/,2021,9905000,https://api.climatetrace.org/,2021,9905000,https://api.climatetrace.org/,2021,9905000,https://api.climatetrace.org/
country/BLR,Belarus,2019,16504500000,https://unstats.un.org/unsd/energystats/data/,2019,2711000000,https://unstats.un.org/unsd/energystats/data/,2021,16212000,https://api.climatetrace.org/,2021,16212000,https://api.climatetrace.org/,2021,16212000,https://api.climatetrace.org/
country/CHE,Switzerland,,,,,,,2021,4333000,https://api.climatetrace.org/,2021,4333000,https://api.climatetrace.org/,2021,4333000,https://api.climatetrace.org/
country/CYP,Cyprus,2018,4664000000,https://unstats.un.org/unsd/energystats/data/,2017,228000000,https://unstats.un.org/unsd/energystats/data/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/
country/CZE,Czech Republic,2018,58004000000,https://unstats.un.org/unsd/energystats/data/,2018,4269000000,https://unstats.un.org/unsd/energystats/data/,2021,40546000,https://api.climatetrace.org/,2021,40546000,https://api.climatetrace.org/,2021,40546000,https://api.climatetrace.org/
country/DEU,Germany,2018,512934000000,https://unstats.un.org/unsd/energystats/data/,2018,26661000000,https://unstats.un.org/unsd/energystats/data/,2021,247500000,https://api.climatetrace.org/,2021,247500000,https://api.climatetrace.org/,2021,247500000,https://api.climatetrace.org/
country/DNK,Denmark,2018,31084000000,https://unstats.un.org/unsd/energystats/data/,2018,2203000000,https://unstats.un.org/unsd/energystats/data/,2021,16649000,https://api.climatetrace.org/,2021,16649000,https://api.climatetrace.org/,2021,16649000,https://api.climatetrace.org/
